timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1743787537019,210,Scn-1_Stp-10_ClickOnSignOut-1,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-27,text,true,,5048,623,19,19,https://petstore.octoperf.com/actions/Catalog.action,210,0,0
1743787533730,215,Scn-1_Stp-05_ClickOnProduct,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-33,,true,,4022,662,18,18,null,0,3465,0
1743787537194,215,Scn-1_Stp-05_ClickOnProduct,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-33,text,true,,4022,662,18,18,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-02,215,0,0
1743787533935,653,Scn-1_Stp-01_EnterURLandClickOnEnterTheStore,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-42,,true,,5664,525,18,18,null,0,3070,436
1743787537004,653,Scn-1_Stp-01_EnterURLandClickOnEnterTheStore,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-42,text,true,,5664,525,18,18,https://petstore.octoperf.com/actions/Catalog.action,653,0,436
1743787534374,427,Scn-1_Stp-10_ClickOnSignOut,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-28,,true,,5278,1255,18,18,null,0,3169,0
1743787537543,427,Scn-1_Stp-10_ClickOnSignOut,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-28,text,true,,5278,1255,18,18,https://petstore.octoperf.com/actions/Catalog.action,211,0,0
1743787537543,211,Scn-1_Stp-10_ClickOnSignOut-0,302,,Scenario-1_ShoppingFish_Open Model Thread Group 1-28,,true,,230,632,18,18,https://petstore.octoperf.com/actions/Account.action?signoff=,211,0,0
1743787537754,216,Scn-1_Stp-10_ClickOnSignOut-1,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-28,text,true,,5048,623,18,18,https://petstore.octoperf.com/actions/Catalog.action,215,0,0
1743787534690,649,Scn-1_Stp-01_EnterURLandClickOnEnterTheStore,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-43,,true,,5664,525,17,17,null,0,3008,431
1743787537698,649,Scn-1_Stp-01_EnterURLandClickOnEnterTheStore,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-43,text,true,,5664,525,17,17,https://petstore.octoperf.com/actions/Catalog.action,649,0,431
1743787534854,221,Scn-1_Stp-02_ClickOnSignIn,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-40,,true,,4097,656,17,17,null,0,3434,0
1743787538288,221,Scn-1_Stp-02_ClickOnSignIn,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-40,text,true,,4097,656,17,17,https://petstore.octoperf.com/actions/Account.action;jsessionid=7E6F84ADB7D9D49E49938BE633299882?signonForm=,221,0,0
1743787535286,479,Scn-1_Stp-06_ClickOnAddToCart,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-31,,true,,4803,664,17,17,null,0,3036,0
1743787538322,479,Scn-1_Stp-06_ClickOnAddToCart,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-31,text,true,,4803,664,17,17,https://petstore.octoperf.com/actions/Cart.action?addItemToCart=&workingItemId=EST-5,479,0,0
1743787535908,219,Scn-1_Stp-02_ClickOnSignIn,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-41,,true,,4097,656,17,17,null,0,3104,0
1743787539012,219,Scn-1_Stp-02_ClickOnSignIn,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-41,text,true,,4097,656,17,17,https://petstore.octoperf.com/actions/Account.action;jsessionid=7E6F84ADB7D9D49E49938BE633299882?signonForm=,219,0,0
1743787535990,221,Scn-1_Stp-04_ClickOnProductCatalog,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-38,,true,,4065,630,17,17,null,0,3086,0
1743787539076,221,Scn-1_Stp-04_ClickOnProductCatalog,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-38,text,true,,4065,630,17,17,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,221,0,0
1743787535890,222,Scn-1_Stp-06_ClickOnAddToCart,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-32,,true,,4812,664,17,17,null,0,3292,0
1743787539182,222,Scn-1_Stp-06_ClickOnAddToCart,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-32,text,true,,4812,664,17,17,https://petstore.octoperf.com/actions/Cart.action?addItemToCart=&workingItemId=EST-3,222,0,0
1743787536243,221,Scn-1_Stp-05_ClickOnProduct,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-34,,true,,4256,662,17,17,null,0,3074,0
1743787539317,221,Scn-1_Stp-05_ClickOnProduct,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-34,text,true,,4256,662,17,17,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-FW-02,221,0,0
1743787536056,220,Scn-1_Stp-09_ClickOnConfirm,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-29,,true,,5357,621,17,17,null,0,3461,0
1743787539516,220,Scn-1_Stp-09_ClickOnConfirm,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-29,text,true,,5357,621,17,17,https://petstore.octoperf.com/actions/Order.action?newOrder=&confirmed=true,220,0,0
1743787536689,218,Scn-1_Stp-04_ClickOnProductCatalog,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-39,,true,,4124,630,17,17,null,0,3055,0
1743787539743,218,Scn-1_Stp-04_ClickOnProductCatalog,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-39,text,true,,4124,630,17,17,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,218,0,0
1743787536509,478,Scn-1_Stp-08_EnterPaymentDetailsAndClickPayment,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-30,,true,,4745,1268,17,17,null,0,3224,0
1743787539732,478,Scn-1_Stp-08_EnterPaymentDetailsAndClickPayment,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-30,text,true,,4745,1268,17,17,https://petstore.octoperf.com/actions/Order.action,478,0,0
1743787536977,215,Scn-1_Stp-05_ClickOnProduct,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-36,,true,,4022,662,17,17,null,0,3098,0
1743787540074,215,Scn-1_Stp-05_ClickOnProduct,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-36,text,true,,4022,662,17,17,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-02,215,0,0
1743787536831,216,Scn-1_Stp-05_ClickOnProduct,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-37,,true,,4230,662,18,18,null,0,3468,0
1743787540298,216,Scn-1_Stp-05_ClickOnProduct,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-37,text,true,,4230,662,18,18,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-FW-01,216,0,0
1743787536899,219,Scn-1_Stp-05_ClickOnProduct,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-35,,true,,4243,662,18,18,null,0,3401,0
1743787540299,219,Scn-1_Stp-05_ClickOnProduct,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-35,text,true,,4243,662,18,18,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-01,219,0,0
1743787537008,656,Scn-1_Stp-01_EnterURLandClickOnEnterTheStore,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-44,,true,,5664,525,18,18,null,0,3115,438
1743787540122,656,Scn-1_Stp-01_EnterURLandClickOnEnterTheStore,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-44,text,true,,5664,525,18,18,https://petstore.octoperf.com/actions/Catalog.action,656,0,438
1743787537410,215,Scn-1_Stp-06_ClickOnAddToCart,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-33,,true,,4871,664,18,18,null,0,3318,0
1743787540727,215,Scn-1_Stp-06_ClickOnAddToCart,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-33,text,true,,4871,664,18,18,https://petstore.octoperf.com/actions/Cart.action?addItemToCart=&workingItemId=EST-3,215,0,0
1743787537677,220,Scn-1_Stp-02_ClickOnSignIn,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-42,,true,,4095,656,18,18,null,0,3105,0
1743787540781,220,Scn-1_Stp-02_ClickOnSignIn,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-42,text,true,,4095,656,18,18,https://petstore.octoperf.com/actions/Account.action;jsessionid=7E6F84ADB7D9D49E49938BE633299882?signonForm=,220,0,0
1743787537170,655,Scn-1_Stp-01_EnterURLandClickOnEnterTheStore,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-45,,true,,5664,525,18,18,null,0,3216,437
1743787540385,655,Scn-1_Stp-01_EnterURLandClickOnEnterTheStore,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-45,text,true,,5664,525,18,18,https://petstore.octoperf.com/actions/Catalog.action,655,0,437
1743787538347,220,Scn-1_Stp-02_ClickOnSignIn,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-43,,true,,4095,656,19,19,null,0,3167,0
1743787541513,220,Scn-1_Stp-02_ClickOnSignIn,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-43,text,true,,4095,656,19,19,https://petstore.octoperf.com/actions/Account.action;jsessionid=7E6F84ADB7D9D49E49938BE633299882?signonForm=,220,0,0
1743787538801,215,Scn-1_Stp-07_ClickOnProceedToCheckOut,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-31,,true,,5561,644,19,19,null,0,3011,0
1743787541811,215,Scn-1_Stp-07_ClickOnProceedToCheckOut,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-31,text,true,,5561,644,19,19,https://petstore.octoperf.com/actions/Order.action?newOrderForm=,215,0,0
